"region","area_sq_km"
"42_-123",9134.0661079868
"42_-124",3835.20412101
"42_-70",1801.154217207
"42_-71",9131.5201999279
"42_-72",9128.6767772451
"42_-73",9131.482264377
"42_-74",9133.78021745
"42_-75",9130.62520477
"42_-76",9134.61906761312
"42_-77",9134.52000756227
"42_-78",9047.54442262008
"42_-79",5102.7592711945
"42_-80",3399.61747398342
"42_-81",4399.99991174
"42_-82",7265.0812210747
"42_-83",8855.064448
"42_-84",9132.6747238005
"42_-85",9130.62520476
"42_-86",2856.13956751
"42_-87",1846.963069329
"42_-88",9130.6252047705
"42_-89",9130.625204765
"42_-90",9132.979643409
"42_-91",9127.345208188
"42_-92",9130.62520476
"42_-93",9129.80685923
"42_-94",9133.431666545
"42_-95",9130.12726221
"42_-96",9130.146125696
"42_-97",9130.62520475872
"42_-98",9131.085764601
"42_-99",9127.31798098704
"43_-100",8987.14821836975
"43_-101",8990.186331416
"43_-102",8989.5421634969
"43_-103",8989.01392746795
"43_-104",8984.858705586
"43_-105",8985.31645942
"43_-106",8986.304607038
"43_-107",8985.316459419
"43_-108",8985.31645942
"43_-109",8985.31645942
"43_-110",8985.31645942
"43_-111",8987.36922144
"43_-112",8985.31645942
"43_-113",8982.94756165
"43_-114",8985.31645942
"43_-115",8985.31645942
"43_-116",8981.4415656782
"43_-117",8985.722554246
"43_-118",8984.21483091
"43_-119",8985.31645942
"43_-120",8983.1834054
"43_-121",8982.538320202
"43_-122",8985.31645942
"43_-123",8985.31645942
"43_-124",2403.75316392
"43_-64",390.248794866
"43_-65",3296.10058526
"43_-66",358.449720503
"43_-69",758.8251661
"43_-70",5864.453460464
"43_-71",8988.99774778
"43_-72",8987.75418769
"43_-73",8984.58765608
"43_-74",8985.31645942
"43_-75",8981.81515331
"43_-76",4789.3397876495
"43_-77",3143.739293058
"43_-78",4052.315467703
"43_-79",6326.6235369161
"43_-80",8985.31645942
"43_-81",7015.81421047
"43_-82",4109.693729185
"43_-83",7453.7535325
"43_-84",8985.31645943
"43_-85",8983.6418983953
"43_-86",3570.4116772
"43_-87",1805.14048583
"43_-88",8985.31645942
"43_-89",8985.31645942
"43_-90",8985.31645942
"43_-91",8984.848881545
"43_-92",8982.1457532155
"43_-93",8986.484338672
"43_-94",8985.31645942811
"43_-95",8985.814401982
"43_-96",8985.311833552
"43_-97",8985.31645942
"43_-98",8985.31645942
"43_-99",8987.6174529273
"44_-100",8834.27076827
"44_-101",8837.20563153
"44_-102",8837.20563153
"44_-103",8837.20563153
"44_-104",8837.2333036261
"44_-105",8835.56541809368
"44_-106",8839.7304679173
"44_-107",8833.19176746705
"44_-108",8837.20563153
"44_-109",8837.20563153
"44_-110",8834.7304042936
"44_-111",8838.969852675
"44_-112",8837.20563153
"44_-113",8835.488619899
"44_-114",8837.20563153
"44_-115",8837.20563153
"44_-116",8839.1507129669
"44_-117",8837.2056315217
"44_-118",8838.30726003526
"44_-119",8837.20563153
"44_-120",8835.77169205
"44_-121",8837.37714813
"44_-122",8837.20563153
"44_-123",8837.20563153
"44_-124",598.132049837
"44_-62",1280.53562012
"44_-63",3614.16513807
"44_-64",6876.40946473
"44_-65",7079.94398244
"44_-66",652.32308068139
"44_-67",3434.76090337
"44_-68",5800.5695086
"44_-69",8646.49268303
"44_-70",8837.25638067785
"44_-71",8833.386015418
"44_-72",8837.8512620576
"44_-73",8836.768226086
"44_-74",8833.2211268688
"44_-75",8840.706937628
"44_-76",7888.824630804
"44_-77",8823.54675813
"44_-78",8837.20563152
"44_-79",8537.46976722
"44_-80",5351.28840351
"44_-81",3812.35968663
"44_-82",42.621607801
"44_-83",5256.03799596
"44_-84",8837.20563153
"44_-85",8533.806871255
"44_-86",2082.584654744
"44_-87",3874.177270426
"44_-88",8835.42638254
"44_-89",8837.20563153
"44_-90",8835.3684250506
"44_-91",8839.4055207974
"44_-92",8837.91506553
"44_-93",8839.51129131
"44_-94",8833.583829404
"44_-95",8837.20563153
"44_-96",8837.94176807727
"44_-97",8837.20563153
"44_-98",8837.20563153
"44_-99",8838.2118618
"45_-100",8685.370723375
"45_-101",8686.333860106
"45_-102",8686.33386011
"45_-103",8686.333860103
"45_-104",8686.48975644002
"45_-105",8687.97407353364
"45_-106",8686.33386011
"45_-107",8690.3477241687
"45_-108",8686.33386011018
"45_-109",8686.3338601046
"45_-110",8688.29974698155
"45_-111",8686.33386011
"45_-112",8686.33386011
"45_-113",8690.419769504
"45_-114",8682.85157957
"45_-115",8686.00055880242
"45_-116",8687.1532510568
"45_-117",8682.10289376126
"45_-118",8684.1559619714
"45_-119",8686.333860098
"45_-120",8689.90085361
"45_-121",8686.613049174
"45_-122",8684.61700632
"45_-123",8294.27949828
"45_-124",4.37922757038
"45_-59",89.5160963123
"45_-60",2196.31804424
"45_-61",4956.96745883
"45_-62",6427.6937127196
"45_-63",7406.35358048
"45_-64",6208.24685511
"45_-65",5549.8639713513
"45_-66",7671.49318041
"45_-67",8597.21879531
"45_-68",8686.33386011
"45_-69",8686.33386011
"45_-70",8683.5334234
"45_-71",8688.9384213649
"45_-72",8687.116678197
"45_-73",8686.72924965328
