prov_state,strata_name,area_sq_km,country_code,bcr,province_state,country,bcr_by_country
SD,US-SD-22,3376.081658,US,22,SOUTH DAKOTA,United States of America,United States of America-BCR_22
SK,CA-SK-11,241315.0014,CA,11,Saskatchewan,Canada,Canada-BCR_11
SK,CA-SK-6,177762.7476,CA,6,Saskatchewan,Canada,Canada-BCR_6
SK,CA-SK-8,188614.6638,CA,8,Saskatchewan,Canada,Canada-BCR_8
TN,US-TN-24,40643.74482,US,24,TENNESSEE,United States of America,United States of America-BCR_24
TN,US-TN-26,1525.506763,US,26,TENNESSEE,United States of America,United States of America-BCR_26
TN,US-TN-27,25256.09855,US,27,TENNESSEE,United States of America,United States of America-BCR_27
TN,US-TN-28,41401.92503,US,28,TENNESSEE,United States of America,United States of America-BCR_28
TX,US-TX-18,105639.3669,US,18,TEXAS,United States of America,United States of America-BCR_18
TX,US-TX-19,89322.85764,US,19,TEXAS,United States of America,United States of America-BCR_19
TX,US-TX-20,58594.89976,US,20,TEXAS,United States of America,United States of America-BCR_20
TX,US-TX-21,152288.5813,US,21,TEXAS,United States of America,United States of America-BCR_21
TX,US-TX-25,71055.61504,US,25,TEXAS,United States of America,United States of America-BCR_25
TX,US-TX-35,99676.68323,US,35,TEXAS,United States of America,United States of America-BCR_35
TX,US-TX-36,68077.38205,US,36,TEXAS,United States of America,United States of America-BCR_36
TX,US-TX-37,40837.1742,US,37,TEXAS,United States of America,United States of America-BCR_37
UT,US-UT-10,2875.338373,US,10,UTAH,United States of America,United States of America-BCR_10
UT,US-UT-16,131471.5894,US,16,UTAH,United States of America,United States of America-BCR_16
UT,US-UT-33,311.4143929,US,33,UTAH,United States of America,United States of America-BCR_33
UT,US-UT-9,85199.37731,US,9,UTAH,United States of America,United States of America-BCR_9
VA,US-VA-27,18706.52761,US,27,VIRGINIA,United States of America,United States of America-BCR_27
VA,US-VA-28,39831.98859,US,28,VIRGINIA,United States of America,United States of America-BCR_28
VA,US-VA-29,42367.76971,US,29,VIRGINIA,United States of America,United States of America-BCR_29
VA,US-VA-30,2846.801184,US,30,VIRGINIA,United States of America,United States of America-BCR_30
VT,US-VT-13,4533.428718,US,13,VERMONT,United States of America,United States of America-BCR_13
VT,US-VT-14,20508.05298,US,14,VERMONT,United States of America,United States of America-BCR_14
WA,US-WA-10,22876.08348,US,10,WASHINGTON,United States of America,United States of America-BCR_10
WA,US-WA-5,52629.00809,US,5,WASHINGTON,United States of America,United States of America-BCR_5
WA,US-WA-9,99497.40896,US,9,WASHINGTON,United States of America,United States of America-BCR_9
WI,US-WI-12,46194.38968,US,12,WISCONSIN,United States of America,United States of America-BCR_12
WI,US-WI-22,1316.460034,US,22,WISCONSIN,United States of America,United States of America-BCR_22
WI,US-WI-23,98330.49869,US,23,WISCONSIN,United States of America,United States of America-BCR_23
WV,US-WV-28,62692.4925,US,28,WEST VIRGINIA,United States of America,United States of America-BCR_28
WY,US-WY-10,165734.9472,US,10,WYOMING,United States of America,United States of America-BCR_10
WY,US-WY-16,10978.85712,US,16,WYOMING,United States of America,United States of America-BCR_16
WY,US-WY-17,64730.2089,US,17,WYOMING,United States of America,United States of America-BCR_17
WY,US-WY-18,12182.58154,US,18,WYOMING,United States of America,United States of America-BCR_18
YT,CA-YT-3,28020.81351,CA,3,Yukon,Canada,Canada-BCR_3
YT,CA-YT-4,435349.3424,CA,4,Yukon,Canada,Canada-BCR_4
YT,CA-YT-5,4128.331567,CA,5,Yukon,Canada,Canada-BCR_5
YT,CA-YT-6,17376.54475,CA,6,Yukon,Canada,Canada-BCR_6
